metric_group,stage,metric,value_pct,value_n,value_total
field_completeness,bronze,patient_age_raw,64.0,9434,14742
field_completeness,bronze,patient_sex_raw,93.6,13801,14742
field_completeness,bronze,patient_weight_raw,34.6,5095,14742
field_completeness,bronze,reactions_raw,100.0,14742,14742
field_completeness,bronze,reporting_country_raw,100.0,14738,14742
field_completeness,bronze,report_date_raw,100.0,14742,14742
field_completeness,silver,patient_age_raw,67.3,5391,8010
field_completeness,silver,patient_sex_raw,93.8,7517,8010
field_completeness,silver,patient_weight_raw,31.1,2488,8010
field_completeness,silver,reactions_raw,100.0,8010,8010
field_completeness,silver,reporting_country_raw,100.0,8006,8010
field_completeness,silver,report_date_raw,100.0,8010,8010
deduplication,bronze_to_silver,exact_case_drug_duplicates_removed,37.0,5457,14742
deduplication,bronze_to_silver,near_duplicate_repeat_submissions_removed,8.6,1275,14742
deduplication,bronze_to_silver,total_duplicate_rate,45.7,6732,14742
drug_name_mapping,drug_master,distinct_raw_names_mapped_to_canonical,99.6,234,235
drug_name_mapping,drug_master,match_method_fuzzy,88.5,208,235
drug_name_mapping,drug_master,match_method_manual_exact,11.1,26,235
drug_name_mapping,drug_master,match_method_unmatched,0.4,1,235
quality_flags,silver,MISSING_WEIGHT,37.7,3021,8010
quality_flags,silver,MISSING_AGE,32.7,2619,8010
quality_flags,silver,OK,27.2,2180,8010
quality_flags,silver,MISSING_SEX,2.3,182,8010
quality_flags,silver,IMPLAUSIBLE_WEIGHT,0.1,6,8010
quality_flags,silver,UNMAPPED_DRUG,0.0,2,8010
