drug_name_raw,canonical_id,canonical_brand,canonical_generic,match_method,match_score
*ADALIMUMAB,ADALIMUMAB,Humira,Adalimumab,fuzzy,95.2
ADALIMUMAB,ADALIMUMAB,Humira,Adalimumab,manual_exact,100.0
ADALIMUMAB (ADALIMUMAB) UNKNOWN,ADALIMUMAB,Humira,Adalimumab,fuzzy,90.0
ADALIMUMAB 40MG/.8ML,ADALIMUMAB,Humira,Adalimumab,fuzzy,90.0
ADALIMUMAB ABBVIE INC,ADALIMUMAB,Humira,Adalimumab,fuzzy,90.0
ADALIMUMAB INJECTIE,ADALIMUMAB,Humira,Adalimumab,fuzzy,90.0
ADALIMUMAB INJVLST  50MG/ML,ADALIMUMAB,Humira,Adalimumab,fuzzy,90.0
ADALIMUMAB RECOMBINANT,ADALIMUMAB,Humira,Adalimumab,fuzzy,90.0
ADVIL,IBUPROFEN,Advil/Motrin,Ibuprofen,manual_exact,100.0
ADVIL                              /00109201/,IBUPROFEN,Advil/Motrin,Ibuprofen,fuzzy,85.5
ADVIL (MEFENAMIC ACID),IBUPROFEN,Advil/Motrin,Ibuprofen,fuzzy,90.0
ADVIL ALLERGY AND CONGESTION RELIEF,IBUPROFEN,Advil/Motrin,Ibuprofen,fuzzy,90.0
ADVIL ALLERGY SINUS,IBUPROFEN,Advil/Motrin,Ibuprofen,fuzzy,90.0
ADVIL CHILDREN^S SUSPENSION,IBUPROFEN,Advil/Motrin,Ibuprofen,fuzzy,90.0
ADVIL COLD + SINUS,IBUPROFEN,Advil/Motrin,Ibuprofen,fuzzy,90.0
ADVIL COLD AND SINUS,IBUPROFEN,Advil/Motrin,Ibuprofen,fuzzy,90.0
ADVIL CONGESTION RELIEF,IBUPROFEN,Advil/Motrin,Ibuprofen,fuzzy,90.0
ADVIL ENFANTS ET NOURRISSONS,IBUPROFEN,Advil/Motrin,Ibuprofen,fuzzy,90.0
ADVIL EXTRA STRENGTH,IBUPROFEN,Advil/Motrin,Ibuprofen,fuzzy,90.0
ADVIL FORTE,IBUPROFEN,Advil/Motrin,Ibuprofen,fuzzy,90.0
ADVIL GELCAPS,IBUPROFEN,Advil/Motrin,Ibuprofen,fuzzy,90.0
ADVIL INFANTS PAIN AND FEVER RELIEF,IBUPROFEN,Advil/Motrin,Ibuprofen,fuzzy,90.0
ADVIL LIQUI-GELS,IBUPROFEN,Advil/Motrin,Ibuprofen,fuzzy,90.0
ADVIL LIQUIGEL,IBUPROFEN,Advil/Motrin,Ibuprofen,fuzzy,90.0
ADVIL MAX,IBUPROFEN,Advil/Motrin,Ibuprofen,fuzzy,90.0
ADVIL MIGRAINE,IBUPROFEN,Advil/Motrin,Ibuprofen,fuzzy,90.0
ADVIL PM,IBUPROFEN,Advil/Motrin,Ibuprofen,manual_exact,100.0
ADVIL ULTRA FORTE,IBUPROFEN,Advil/Motrin,Ibuprofen,fuzzy,90.0
ADVIL//IBUPROFEN,IBUPROFEN,Advil/Motrin,Ibuprofen,fuzzy,90.0
APO IBUPROFEN,IBUPROFEN,Advil/Motrin,Ibuprofen,fuzzy,95.0
APO-METFORMIN - TAB 500MG,METFORMIN,Glucophage,Metformin,fuzzy,90.0
APO?IBUPROFEN,,,,unmatched,0.0
ATORVASTATIN,ATORVASTATIN,Lipitor,Atorvastatin,manual_exact,100.0
ATORVASTATIN (ATORVASTATIN),ATORVASTATIN,Lipitor,Atorvastatin,fuzzy,90.0
ATORVASTATIN (ATORVASTATIN) (ATORVASTATIN),ATORVASTATIN,Lipitor,Atorvastatin,fuzzy,90.0
ATORVASTATIN (ATORVASTATIN) TABLET,ATORVASTATIN,Lipitor,Atorvastatin,fuzzy,90.0
ATORVASTATIN (UNKNOWN),ATORVASTATIN,Lipitor,Atorvastatin,fuzzy,90.0
ATORVASTATIN 20MG,ATORVASTATIN,Lipitor,Atorvastatin,fuzzy,95.0
ATORVASTATIN CALCIUM,ATORVASTATIN,Lipitor,Atorvastatin,manual_exact,100.0
ATORVASTATIN CALCIUM (ATORVASTATIN CALCIUM),ATORVASTATIN,Lipitor,Atorvastatin,fuzzy,90.0
ATORVASTATIN CALCIUM (UNKNOWN),ATORVASTATIN,Lipitor,Atorvastatin,fuzzy,90.0
ATORVASTATIN CALCIUM TABLETS,ATORVASTATIN,Lipitor,Atorvastatin,fuzzy,95.0
ATORVASTATIN CALCIUM.,ATORVASTATIN,Lipitor,Atorvastatin,fuzzy,97.6
ATORVASTATIN GENERIC FOR LIPITOR,ATORVASTATIN,Lipitor,Atorvastatin,fuzzy,90.0
ATORVASTATIN SANDOZ,ATORVASTATIN,Lipitor,Atorvastatin,fuzzy,90.0
"ATORVASTATIN TABLETS 10MG, 20 MG + 40 MG (091650)",ATORVASTATIN,Lipitor,Atorvastatin,fuzzy,90.0
ATORVASTATIN TABLETS 80 MG (202357),ATORVASTATIN,Lipitor,Atorvastatin,fuzzy,90.0
ATORVASTATIN UNICORN,ATORVASTATIN,Lipitor,Atorvastatin,fuzzy,90.0
BLINDED *ADALIMUMAB,ADALIMUMAB,Humira,Adalimumab,fuzzy,90.0
BLINDED ADALIMUMAB,ADALIMUMAB,Humira,Adalimumab,fuzzy,90.0
BLINDED IBUPROFEN,IBUPROFEN,Advil/Motrin,Ibuprofen,fuzzy,90.0
BRUFEN (IBUPROFEN),IBUPROFEN,Advil/Motrin,Ibuprofen,fuzzy,90.0
CELECOXIB; IBUPROFEN; PLACEBO,IBUPROFEN,Advil/Motrin,Ibuprofen,fuzzy,90.0
CELECOXIB;IBUPROFEN/NAPROXEN;PLACEBO,IBUPROFEN,Advil/Motrin,Ibuprofen,fuzzy,90.0
CHILDRENS ADVIL,IBUPROFEN,Advil/Motrin,Ibuprofen,manual_exact,100.0
CHILDRENS MOTRIN,IBUPROFEN,Advil/Motrin,Ibuprofen,manual_exact,100.0
CHILDRENS MOTRIN COLD,IBUPROFEN,Advil/Motrin,Ibuprofen,fuzzy,95.0
CHILDREN^S ADVIL,IBUPROFEN,Advil/Motrin,Ibuprofen,fuzzy,96.8
CHILDREN^S IBUPROFEN,IBUPROFEN,Advil/Motrin,Ibuprofen,fuzzy,90.0
CHILDREN^S MOTRIN,IBUPROFEN,Advil/Motrin,Ibuprofen,fuzzy,97.0
CODEINE PHOSPHATE /IBUPROFEN (CODAFEN),IBUPROFEN,Advil/Motrin,Ibuprofen,fuzzy,90.0
CODEINE+IBUPROFEN,IBUPROFEN,Advil/Motrin,Ibuprofen,fuzzy,90.0
CODEINE\IBUPROFEN,IBUPROFEN,Advil/Motrin,Ibuprofen,fuzzy,90.0
ESOMEPRAZOLE,OMEPRAZOLE,Prilosec,Omeprazole,fuzzy,90.9
ESOMEPRAZOLE (ESOMEPRAZOLE),OMEPRAZOLE,Prilosec,Omeprazole,fuzzy,90.0
ESOMEPRAZOLE MAGNESIUM,OMEPRAZOLE,Prilosec,Omeprazole,fuzzy,95.2
ESOMEPRAZOLE MAGNESIUM W/NAPROXEN,OMEPRAZOLE,Prilosec,Omeprazole,fuzzy,90.0
ESOMEPRAZOLE MAGNESIUM.,OMEPRAZOLE,Prilosec,Omeprazole,fuzzy,93.0
ESOMEPRAZOLE MAGNESIUM\NAPROXEN,OMEPRAZOLE,Prilosec,Omeprazole,fuzzy,90.0
ESOMEPRAZOLE MYLAN,OMEPRAZOLE,Prilosec,Omeprazole,fuzzy,90.0
FIRST OMEPRAZOLE RX,OMEPRAZOLE,Prilosec,Omeprazole,fuzzy,90.0
FLUOXETINE,FLUOXETINE,Prozac,Fluoxetine,manual_exact,100.0
FLUOXETINE (FLUOXETINE HYDROCHLORIDE),FLUOXETINE,Prozac,Fluoxetine,fuzzy,90.0
FLUOXETINE (FLUOXETINE),FLUOXETINE,Prozac,Fluoxetine,fuzzy,90.0
FLUOXETINE (FLUOXETINE) UNKNOWN,FLUOXETINE,Prozac,Fluoxetine,fuzzy,90.0
FLUOXETINE (FORMULATION UNKNOWN) (FLUOXETINE) (GENERIC),FLUOXETINE,Prozac,Fluoxetine,fuzzy,90.0
FLUOXETINE (FORMULATION UNKNOWN) (GENERIC) (FLUOXETINE),FLUOXETINE,Prozac,Fluoxetine,fuzzy,90.0
FLUOXETINE (NON-SPECIFIC),FLUOXETINE,Prozac,Fluoxetine,fuzzy,90.0
FLUOXETINE (UNKNOWN),FLUOXETINE,Prozac,Fluoxetine,fuzzy,90.0
FLUOXETINE (WATSON LABORATORIES),FLUOXETINE,Prozac,Fluoxetine,fuzzy,90.0
FLUOXETINE 10 MG,FLUOXETINE,Prozac,Fluoxetine,fuzzy,90.0
FLUOXETINE 20 MG AUROBINDO,FLUOXETINE,Prozac,Fluoxetine,fuzzy,90.0
FLUOXETINE 20 MG TABLETS,FLUOXETINE,Prozac,Fluoxetine,fuzzy,90.0
FLUOXETINE 40 MG,FLUOXETINE,Prozac,Fluoxetine,fuzzy,90.0
FLUOXETINE 40MG TEVA,FLUOXETINE,Prozac,Fluoxetine,fuzzy,90.0
FLUOXETINE CAPSULES,FLUOXETINE,Prozac,Fluoxetine,fuzzy,90.0
FLUOXETINE HCI,FLUOXETINE,Prozac,Fluoxetine,fuzzy,95.0
FLUOXETINE HCL,FLUOXETINE,Prozac,Fluoxetine,manual_exact,100.0
FLUOXETINE HCL (FLUOXETINE HYDROCHLORIDE),FLUOXETINE,Prozac,Fluoxetine,fuzzy,90.0
FLUOXETINE HYDROCHLORIDE,FLUOXETINE,Prozac,Fluoxetine,manual_exact,100.0
FLUOXETINE HYDROCHLORIDE (FLUOXETINE HYDROCHLORIDE),FLUOXETINE,Prozac,Fluoxetine,fuzzy,90.0
FLUOXETINE HYDROCHLORIDE (UNKNOWN),FLUOXETINE,Prozac,Fluoxetine,fuzzy,95.0
FLUOXETINE HYDROCHLORIDE.,FLUOXETINE,Prozac,Fluoxetine,fuzzy,98.0
FLUOXETINE SANDOZ,FLUOXETINE,Prozac,Fluoxetine,fuzzy,90.0
FLUOXETINE W/OLANZAPINE,FLUOXETINE,Prozac,Fluoxetine,fuzzy,90.0
FLUOXETINE WINTHROP,FLUOXETINE,Prozac,Fluoxetine,fuzzy,90.0
GLIBENCLAMIDE + METFORMIN,METFORMIN,Glucophage,Metformin,fuzzy,90.0
GLIBENCLAMIDE METFORMIN (SIL-NORBORAL),METFORMIN,Glucophage,Metformin,fuzzy,90.0
GLIBENCLAMIDE W/METFORMIN,METFORMIN,Glucophage,Metformin,fuzzy,90.0
GLIMEPIRIDE+METFORMIN HCL,METFORMIN,Glucophage,Metformin,fuzzy,90.0
GLUCOPHAGE,METFORMIN,Glucophage,Metformin,manual_exact,100.0
GLUCOPHAGE TABS,METFORMIN,Glucophage,Metformin,fuzzy,90.0
GLUCOPHAGE TABS 1000 MG,METFORMIN,Glucophage,Metformin,fuzzy,90.0
GLUCOPHAGE TABS 500 MG,METFORMIN,Glucophage,Metformin,fuzzy,90.0
GLUCOPHAGE TABS 850 MG,METFORMIN,Glucophage,Metformin,fuzzy,90.0
GLUCOPHAGE XR,METFORMIN,Glucophage,Metformin,manual_exact,100.0
GLYBURIDE AND METFORMIN,METFORMIN,Glucophage,Metformin,fuzzy,90.0
"GLYBURIDE-METFORMIN 2.5MG-500MG HERITAGE PHARMACEUTICALS, INC",METFORMIN,Glucophage,Metformin,fuzzy,90.0
HUMIRA,ADALIMUMAB,Humira,Adalimumab,manual_exact,100.0
HUMIRA (ADALIMUMAB) (ADALIMUMAB),ADALIMUMAB,Humira,Adalimumab,fuzzy,90.0
HUMIRA (ADALIMUMAB) (SOLUTION FOR INJECTION),ADALIMUMAB,Humira,Adalimumab,fuzzy,90.0
HUMIRA (ADALIMUMAB) OPEN LABEL,ADALIMUMAB,Humira,Adalimumab,fuzzy,90.0
HUMIRA 1 SHOT,ADALIMUMAB,Humira,Adalimumab,fuzzy,90.0
HUMIRA 140 MG,ADALIMUMAB,Humira,Adalimumab,fuzzy,90.0
HUMIRA 40 ABBIE,ADALIMUMAB,Humira,Adalimumab,fuzzy,90.0
HUMIRA 40 MG,ADALIMUMAB,Humira,Adalimumab,fuzzy,90.0
HUMIRA 40 MG ABBVIE,ADALIMUMAB,Humira,Adalimumab,fuzzy,90.0
HUMIRA 40 MG/ 0.8 ML PRE-FILLED SYRINGE,ADALIMUMAB,Humira,Adalimumab,fuzzy,90.0
HUMIRA 40 MG/0.8 ML PEN,ADALIMUMAB,Humira,Adalimumab,fuzzy,90.0
HUMIRA 40MG ABB VIE,ADALIMUMAB,Humira,Adalimumab,fuzzy,90.0
HUMIRA 40MG ABBVIE,ADALIMUMAB,Humira,Adalimumab,fuzzy,90.0
HUMIRA 40MG/0.4ML,ADALIMUMAB,Humira,Adalimumab,fuzzy,90.0
HUMIRA NO STUDY MEDICATION,ADALIMUMAB,Humira,Adalimumab,fuzzy,90.0
HUMIRA PEN,ADALIMUMAB,Humira,Adalimumab,manual_exact,100.0
"HUMIRA PEN, 40 MG, ABBVIE",ADALIMUMAB,Humira,Adalimumab,fuzzy,90.0
IBUBETA 400 AKUT (IBUPROFEN),IBUPROFEN,Advil/Motrin,Ibuprofen,fuzzy,90.0
IBUPROFEN,IBUPROFEN,Advil/Motrin,Ibuprofen,manual_exact,100.0
IBUPROFEN (AMALLC),IBUPROFEN,Advil/Motrin,Ibuprofen,fuzzy,90.0
IBUPROFEN (IBUPROFEN),IBUPROFEN,Advil/Motrin,Ibuprofen,fuzzy,90.0
IBUPROFEN (IBUPROFEN) (IBUPROFEN),IBUPROFEN,Advil/Motrin,Ibuprofen,fuzzy,90.0
IBUPROFEN (IBUPROFEN) UNKNOWN,IBUPROFEN,Advil/Motrin,Ibuprofen,fuzzy,90.0
IBUPROFEN (IBUPROFEN) UNSPECIFIED,IBUPROFEN,Advil/Motrin,Ibuprofen,fuzzy,90.0
IBUPROFEN (UNKNOWN),IBUPROFEN,Advil/Motrin,Ibuprofen,fuzzy,90.0
IBUPROFEN 16028/0027 200 MG,IBUPROFEN,Advil/Motrin,Ibuprofen,fuzzy,90.0
IBUPROFEN 20 MG/ML 16028/0034,IBUPROFEN,Advil/Motrin,Ibuprofen,fuzzy,90.0
IBUPROFEN 20 MG/ML CHILD BERRY 897,IBUPROFEN,Advil/Motrin,Ibuprofen,fuzzy,90.0
IBUPROFEN 20 MG/ML CHILD FRUIT 623,IBUPROFEN,Advil/Motrin,Ibuprofen,fuzzy,90.0
IBUPROFEN 200 MG 604,IBUPROFEN,Advil/Motrin,Ibuprofen,fuzzy,90.0
IBUPROFEN 200MG-DIPHENHYDRAMINE CITRATE 38 MG 8K7,IBUPROFEN,Advil/Motrin,Ibuprofen,fuzzy,90.0
IBUPROFEN 200MG/ 12.8 MG CODEIN PHOPHATE,IBUPROFEN,Advil/Motrin,Ibuprofen,fuzzy,90.0
IBUPROFEN 400 MG,IBUPROFEN,Advil/Motrin,Ibuprofen,fuzzy,90.0
IBUPROFEN CAPSULES 200 MG,IBUPROFEN,Advil/Motrin,Ibuprofen,fuzzy,90.0
IBUPROFEN INFANT BERRY 40 MG/ML 057,IBUPROFEN,Advil/Motrin,Ibuprofen,fuzzy,90.0
IBUPROFEN SAFT,IBUPROFEN,Advil/Motrin,Ibuprofen,fuzzy,90.0
